W,Название (рус.),Title (en),Titre (fr),Год,"Размер, см",Статус,Где хранится,Location,Страна,Country,Последняя известная продажа,Тип изображения,Изображение на сайте,Источник изображения,Wikidata,Ссылка на карточку
1537,Мост Чаринг-Кросс. Темза,"Charing Cross Bridge, The Thames","Charing Cross Bridge, la Tamise",1899–1901,73 × 100,музей,"Музей изящных искусств, Лион",Museum of Fine Arts of Lyon,Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1537.webp,https://commons.wikimedia.org/wiki/File:Monet-Tamise-Lyon.jpg,https://www.wikidata.org/wiki/Q55647663,https://monet.1vasiliadi.com/#w1537
1538,"Мост Чаринг-Кросс, идущий поезд","Charing Cross Bridge, Train Passing",,1899–1901,73 × 92,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1538.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1538.png,,https://monet.1vasiliadi.com/#w1538
1539,"Мост Чаринг-Кросс, вечер","Charing Cross Bridge, Evening Effect",,1899–1901,73 × 100,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1539.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1539.png,,https://monet.1vasiliadi.com/#w1539
1540,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 92,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1540.webp,https://commons.wikimedia.org/wiki/File:Monet_w1540.jpg,https://www.wikidata.org/wiki/Q52152294,https://monet.1vasiliadi.com/#w1540
1541,"Мост Чаринг-Кросс, туман","Charing Cross Bridge, Fog","Le Pont de Charing-Cross, brouillard",1899–1901,73 × 92,музей,"Художественная галерея Онтарио, Торонто","Art Gallery of Ontario, Toronto",Канада,Canada,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1541.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Charing_Cross_Bridge%2C_Fog.jpg,https://www.wikidata.org/wiki/Q50012973,https://monet.1vasiliadi.com/#w1541
1542,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 81,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1542.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1542.png,,https://monet.1vasiliadi.com/#w1542
1543,Игла Клеопатры и мост Чаринг-Кросс,Cleopatra's Needle and Charing Cross Bridge,L'Aiguille de Cléopâtre et Charing Cross Bridge,1899–1901,73 × 100,музей,"Музей Мухаммеда Махмуда Халиля, Каир","Mohamed Mahmoud Khalil Museum, Cairo",Египет,Egypt,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1543.webp,https://commons.wikimedia.org/wiki/File:Monet_-_charing-cross-bridge-cleopatra-s-needle-1901.jpg,https://www.wikidata.org/wiki/Q84056666,https://monet.1vasiliadi.com/#w1543
1544,Игла Клеопатры и мост Чаринг-Кросс,Cleopatra's Needle and Charing Cross Bridge,,1899–1901,65 × 81,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1544.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1544.png,,https://monet.1vasiliadi.com/#w1544
1545,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 95,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1545.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1545.png,,https://monet.1vasiliadi.com/#w1545
1546,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 100,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1546.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1546.png,,https://monet.1vasiliadi.com/#w1546
1547,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 100,частная коллекция,,,Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1547.webp,https://commons.wikimedia.org/wiki/File:Monet_w1547.jpg,,https://monet.1vasiliadi.com/#w1547
1548,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,73 × 100,музей,Художественный музей Сент-Луиса,Saint Louis Art Museum,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1548.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Charing_Cross_Bridge%2C_1903.jpg,https://www.wikidata.org/wiki/Q78643172,https://monet.1vasiliadi.com/#w1548
1549,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 100,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1549.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Charing_Cross_bridge_-_Sothebys_12_nov_2019.jpg,,https://monet.1vasiliadi.com/#w1549
1550,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 81,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1550.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Charing_Cross_Bridge_(1899-1901).jpg,https://www.wikidata.org/wiki/Q117711957,https://monet.1vasiliadi.com/#w1550
1551,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 92,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1551.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1551.png,,https://monet.1vasiliadi.com/#w1551
1552,Мост Чаринг-Кросс с буксирами,Charing Cross Bridge with tugs,,1899–1901,65 × 100,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1552.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1552.png,,https://monet.1vasiliadi.com/#w1552
1552a,"Лондон, мост Чаринг-Кросс","London, Charing Cross Bridge",,1899–1901,65 × 81,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1552a.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1552a.jpg,,https://monet.1vasiliadi.com/#w1552a
1553,Мост Чаринг-Кросс (этюд),Charing Cross Bridge (study),Charing Cross Bridge,1899–1901,60 × 100,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1553.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1553.png,https://www.wikidata.org/wiki/Q105099601,https://monet.1vasiliadi.com/#w1553
1554,"Мост Чаринг-Кросс, туман на Темзе","Charing Cross Bridge, Fog on the Thames",,1899–1901,73 × 92,музей,"Музей Фогга, Кембридж (Массачусетс)","Fogg Museum, Cambridge",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1554.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Charing_Cross_Bridge_Fog_on_the_Thames%2C_1903.jpg,https://www.wikidata.org/wiki/Q70781289,https://monet.1vasiliadi.com/#w1554
1555,Мост Ватерлоо,Waterloo Bridge,,1899–1901,65 × 92,музей,Художественный музей Санта-Барбары,Santa Barbara Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1555.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Waterloo_Bridge_(W_1555).jpg,https://www.wikidata.org/wiki/Q47782162,https://monet.1vasiliadi.com/#w1555
1556,Мост Ватерлоо. Лондон,"Waterloo Bridge, London",,1899–1901,65 × 100,музей,"Городская галерея Хью Лейна, Дублин",Dublin City Gallery The Hugh Lane,Ирландия,Ireland,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1556.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Waterloo_Bridge%2C_overcast_weather%2C_1900.jpg,https://www.wikidata.org/wiki/Q84625996,https://monet.1vasiliadi.com/#w1556
1557,Мост Ватерлоо. Пасмурная погода,"Waterloo Bridge, Grey Weather",,1899–1901,65 × 92,музей,Чикагский институт искусств,Art Institute of Chicago,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1557.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Waterloo_Bridge%2C_Gray_Weather%2C_1900.jpg,https://www.wikidata.org/wiki/Q20268526,https://monet.1vasiliadi.com/#w1557
1558,Мост Ватерлоо. Облачно,"Waterloo Bridge, Overcast",,1899–1901,65 × 100,частная коллекция,,,Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1558.webp,https://commons.wikimedia.org/wiki/File:Monet_w1558.jpg,,https://monet.1vasiliadi.com/#w1558
1559,Мост Ватерлоо. Утренний туман,"Waterloo Bridge, Morning Fog",,1901,65 × 100,музей,Художественный музей Филадельфии,Philadelphia Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1559.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Waterloo_Bridge%2C_Morning_Fog%2C_1901.jpg,https://www.wikidata.org/wiki/Q20809485,https://monet.1vasiliadi.com/#w1559
1560,Мост Ватерлоо,Waterloo Bridge,"Le pont de Waterloo, matin brumeux",1902,65 × 100,музей,"Кунстхалле, Гамбург",Kunsthalle Hamburg,Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1560.webp,https://commons.wikimedia.org/wiki/File:1902_Monet_Die_Waterloo-Br%C3%BCcke_anagoria.JPG,https://www.wikidata.org/wiki/Q50699803,https://monet.1vasiliadi.com/#w1560
1561,Мост Ватерлоо. Туманное утро,"Waterloo Bridge, Misty Morning","Le Pont de Waterloo, temps gris",1899–1901,65 × 100,музей,"Ордрупгор, Копенгаген","Ordrupgaard, Copenhagen",Дания,Denmark,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1561.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Le_Pont_de_Waterloo%2C_temps_gris_-_Ordrupgaard.jpg,https://www.wikidata.org/wiki/Q66248446,https://monet.1vasiliadi.com/#w1561
1562,Мост Ватерлоо. Туманная погода,"Waterloo Bridge, Misty Weather","Waterloo Bridge, temps gris",1899–1901,65 × 100,музей,"Музей изящных искусств, Берн",Berne Museum,Швейцария,Switzerland,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1562.webp,https://commons.wikimedia.org/wiki/File:Monet_w1562.jpg,https://www.wikidata.org/wiki/Q92787519,https://monet.1vasiliadi.com/#w1562
1563,Мост Ватерлоо. Облачно,"Waterloo Bridge, Overcast",,1899–1901,65 × 100,частная коллекция,,,Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1563.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Waterloo_Bridge_-_Christies_18_07_2007.jpg,,https://monet.1vasiliadi.com/#w1563
1564,Мост Ватерлоо в сумерках,"Waterloo Bridge, at Dusk",,1904,65 × 100,музей,"Национальная галерея искусства, Вашингтон","National Gallery of Art, Washington D.C.",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1564.webp,https://www.nga.gov/collection/art-object-page.61377.html,https://www.wikidata.org/wiki/Q20190902,https://monet.1vasiliadi.com/#w1564
1565,Мост Ватерлоо,Waterloo Bridge,"Waterloo Bridge, effet de soleil",1899–1901,65 × 100,музей,"Художественный музей Денвера, Денвер","Denver Art Museum, Denver",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1565.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Waterloo_Bridge_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q28777026,https://monet.1vasiliadi.com/#w1565
1566,Мост Ватерлоо. Эффект солнца в тумане,"Waterloo Bridge, Effect of Sun in the Mist","Le pont de Waterloo, effet de soleil avec fumées",1903,65 × 100,музей,Балтиморский музей искусств,Baltimore Museum of Art,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1566.webp,https://commons.wikimedia.org/wiki/File:Monet_w1566.jpg,https://www.wikidata.org/wiki/Q95252885,https://monet.1vasiliadi.com/#w1566
1567,Мост Ватерлоо. Эффект солнца,"Waterloo Bridge, Sun Effect",,1903,73 × 92,музей,Художественный музей Милуоки,Milwaukee Art Museum,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1567.webp,https://commons.wikimedia.org/wiki/File:4961083454_f11504c374_o_w1567.jpg,https://www.wikidata.org/wiki/Q73825182,https://monet.1vasiliadi.com/#w1567
1568,Мост Ватерлоо,Waterloo Bridge,,1903,65 × 92,музей,Художественный музей Вустера,Worcester Art Museum,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1568.webp,https://commons.wikimedia.org/wiki/File:Waterloo_Bridge%2C_1903%2C_by_Claude_Monet_(1840-1926)_-_IMG_7175.JPG,https://www.wikidata.org/wiki/Q38623358,https://monet.1vasiliadi.com/#w1568
1569,Мост Ватерлоо. Серый день,"Waterloo Bridge, Grey Day",,1903,65 × 100,музей,"Национальная галерея искусства, Вашингтон","National Gallery of Art, Washington D.C.",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1569.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet%2C_Waterloo_Bridge%2C_Gray_Day%2C_1903%2C_NGA_46658.jpg,https://www.wikidata.org/wiki/Q20190882,https://monet.1vasiliadi.com/#w1569
